First Object;Second Object;Similarity Value;TP;FP
cddb.[1858];cddb.[9637];1.0;1;
cddb.[2004];cddb.[3710];1.0;1;
cddb.[2187];cddb.[2418];1.0;1;
cddb.[2188];cddb.[8063];0.9083333164453506;1;
cddb.[2252];cddb.[4733];1.0;1;
cddb.[2366];cddb.[2367];0.8583333492279053;1;
cddb.[2406];cddb.[7291];0.9874999970197678;1;
cddb.[10314];cddb.[2427];0.8864583373069763;1;
cddb.[2440];cddb.[5443];1.0;1;
cddb.[2571];cddb.[9019];1.0;1;
cddb.[2577];cddb.[2581];1.0;1;
cddb.[2619];cddb.[6174];0.96875;1;
cddb.[2781];cddb.[9669];1.0;1;
cddb.[2807];cddb.[7064];0.9615384638309479;1;
cddb.[2813];cddb.[3155];0.9426406770944595;1;
cddb.[10064];cddb.[2819];1.0;1;
cddb.[2823];cddb.[4684];0.9311145544052124;1;
cddb.[3086];cddb.[3215];0.8653846085071564;1;
cddb.[3096];cddb.[3123];0.9285714328289032;1;
cddb.[3159];cddb.[9969];1.0;1;
cddb.[3192];cddb.[7923];0.9749999940395355;1;
cddb.[3356];cddb.[6955];1.0;1;
cddb.[3383];cddb.[6969];0.9272727221250534;1;
cddb.[3475];cddb.[8592];0.9409722238779068;1;
cddb.[10061];cddb.[3517];0.9861111044883728;1;
cddb.[3529];cddb.[4114];1.0;1;
cddb.[3539];cddb.[4190];1.0;1;
cddb.[3670];cddb.[7515];0.967391312122345;1;
cddb.[3670];cddb.[8151];0.9423076957464218;1;
cddb.[3678];cddb.[4266];1.0;1;
cddb.[3678];cddb.[6690];1.0;1;
cddb.[3722];cddb.[6719];1.0;1;
cddb.[3722];cddb.[8453];1.0;1;
cddb.[3792];cddb.[8891];0.9282608777284622;1;
cddb.[3931];cddb.[5754];1.0;1;
cddb.[4108];cddb.[7977];0.9110576808452606;1;
cddb.[4178];cddb.[7199];1.0;1;
cddb.[4179];cddb.[4732];0.9722222238779068;1;
cddb.[4179];cddb.[4911];0.9722222238779068;1;
cddb.[4184];cddb.[6950];0.8705357164144516;1;
cddb.[4266];cddb.[6690];1.0;1;
cddb.[4291];cddb.[4905];1.0;1;
cddb.[4292];cddb.[8795];1.0;1;
cddb.[4297];cddb.[4306];1.0;1;
cddb.[4297];cddb.[8636];1.0;1;
cddb.[4306];cddb.[8636];1.0;1;
cddb.[4348];cddb.[7170];0.9089026898145676;1;
cddb.[4395];cddb.[8725];0.9722222238779068;1;
cddb.[4419];cddb.[7644];1.0;1;
cddb.[4441];cddb.[7515];1.0;1;
cddb.[4441];cddb.[8151];0.9711538404226303;1;
cddb.[4481];cddb.[6716];1.0;1;
cddb.[4508];cddb.[9662];1.0;1;
cddb.[4586];cddb.[7633];0.9705882370471954;1;
cddb.[4613];cddb.[6116];0.967391312122345;1;
cddb.[4676];cddb.[5746];0.875;1;
cddb.[4732];cddb.[4911];1.0;1;
cddb.[4851];cddb.[7708];1.0;1;
cddb.[4895];cddb.[9209];1.0;1;
cddb.[4975];cddb.[5889];1.0;1;
cddb.[5025];cddb.[9863];0.887499988079071;1;
cddb.[11530];cddb.[5099];1.0;1;
cddb.[5185];cddb.[7072];0.9549999833106995;1;
cddb.[5238];cddb.[8297];0.9545454382896423;1;
cddb.[11455];cddb.[5289];0.9411764740943909;1;
cddb.[5324];cddb.[7847];1.0;1;
cddb.[5360];cddb.[8430];0.8615384697914124;1;
cddb.[5394];cddb.[5418];0.984375;1;
cddb.[5426];cddb.[7869];1.0;1;
cddb.[10361];cddb.[5426];0.8888888955116272;1;