Algoritmo,Start Time,End Time,Runtime in ms,Max. Memory in KB,Min. Memory in KB,Avg. Memory in KB,Number of Data Records,Number of Comparison Candidates,Number of created pairs,Number of actual comparisons,Reduction Ratio,Number of real Duplicates,Precision,Recall,F-Measure,True Positives,False Positives,True Negatives,False Negatives,Precision based on actual comparisons,Recall based on actual comparisons,F-Measure based on actual comparisons,Reduction Ratio based on actual comparisons,True Positives based on actual comparisons,False Positives based on actual comparisons,True Negatives based on actual comparisons,False Negatives based on actual comparisons
Alg1,Wed Sep 26 11:33:15 BRT 2018,Wed Sep 26 11:34:19 BRT 2018,64219,"1,205,761","67,04","373,211",4910,6001104,6001104,6001104,0,2224,"0,4822286263","0,2257194245","0,3075038285",502,539,5998341,1722,"0,4822286263","0,2257194245","0,3075038285",0,502,539,5998341,1722
Alg2,Wed Sep 26 11:48:57 BRT 2018,Wed Sep 26 11:50:07 BRT 2018,69601,"975,789","20,08","218,139",4910,6001104,6001104,6001104,0,2224,"0,2890046614","0,4739208633","0,3590529722",1054,2593,5996287,1170,"0,2890046614","0,4739208633","0,3590529722",0,1054,2593,5996287,1170
Alg3,Wed Sep 26 11:52:38 BRT 2018,Wed Sep 26 11:53:45 BRT 2018,66630,"1,144,584","10,718","311,024",4910,6001104,6001104,6001104,0,2224,"0,8579881657","0,0651978417","0,1211867948",145,24,5998856,2079,"0,8579881657","0,0651978417","0,1211867948",0,145,24,5998856,2079
Alg4,Wed Sep 26 11:55:55 BRT 2018,Wed Sep 26 11:57:00 BRT 2018,65173,"726,797","24,27","233,16",4910,6001104,6001104,6001104,0,2224,"0,925831202","0,3255395683","0,4817032601",724,58,5998822,1500,"0,925831202","0,3255395683","0,4817032601",0,724,58,5998822,1500
Alg5,Wed Sep 26 12:16:10 BRT 2018,Wed Sep 26 12:20:11 BRT 2018,241689,"699,306","11,615","162,561",4910,6001104,6001104,6001104,0,2224,"0,9163841808","0,3646582734","0,5217111611",811,74,5998806,1413,"0,9163841808","0,3646582734","0,5217111611",0,811,74,5998806,1413
Alg6,Wed Sep 26 12:23:10 BRT 2018,Wed Sep 26 12:24:40 BRT 2018,89811,"860,478","13,031","205,629",4910,6001104,6001104,6001104,0,2224,"0,6865808824","0,335881295","0,4510869565",747,341,5998539,1477,"0,6865808824","0,335881295","0,4510869565",0,747,341,5998539,1477
Alg7,Wed Sep 26 12:24:49 BRT 2018,Wed Sep 26 12:28:54 BRT 2018,244558,"831,525","16,608","194,693",4910,6001104,6001104,6001104,0,2224,"0,9091928251","0,3646582734","0,5205391528",811,81,5998799,1413,"0,9091928251","0,3646582734","0,5205391528",0,811,81,5998799,1413
Alg8,Wed Sep 26 12:25:35 BRT 2018,Wed Sep 26 12:29:46 BRT 2018,251113,"870,113","15,585","149,964",4910,6001104,6001104,6001104,0,2224,"0,9163841808","0,3646582734","0,5217111611",811,74,5998806,1413,"0,9163841808","0,3646582734","0,5217111611",0,811,74,5998806,1413
Alg9,Wed Sep 26 12:37:52 BRT 2018,Wed Sep 26 12:38:47 BRT 2018,54454,"1,293,892","20,387","301,555",4910,6001104,6001104,6001104,0,2224,"0,8321400159","0,470323741","0,6009767308",1046,211,5998669,1178,"0,8321400159","0,470323741","0,6009767308",0,1046,211,5998669,1178
Alg10,Wed Sep 26 13:17:40 BRT 2018,Wed Sep 26 13:18:37 BRT 2018,56565,"952,629","69,049","268,892",4910,6001104,6001104,6001104,0,2224,"0,8393057111","0,6740107914","0,7476309227",1499,287,5998593,725,"0,8393057111","0,6740107914","0,7476309227",0,1499,287,5998593,725
Alg11,Wed Sep 26 14:16:41 BRT 2018,Wed Sep 26 14:17:41 BRT 2018,60196,"1,205,744","20,553","352,804",4910,6001104,6001104,6001104,0,2224,"0,9157303371","0,2931654676","0,4441416894",652,60,5998820,1572,"0,9157303371","0,2931654676","0,4441416894",0,652,60,5998820,1572
Alg12,Wed Sep 26 13:00:13 BRT 2018,Wed Sep 26 13:01:15 BRT 2018,62325,"1,099,307","43,759","364,797",4910,6001104,6001104,6001104,0,2224,"0,991902834","0,220323741","0,3605592347",490,4,5998876,1734,"0,991902834","0,220323741","0,3605592347",0,490,4,5998876,1734
Alg13,Wed Sep 26 13:05:16 BRT 2018,Wed Sep 26 13:05:52 BRT 2018,36339,"581,544","59,195","395,013",4910,6001104,6001104,6001104,0,2224,"0,3905209557","0,8965827338","0,5440654843",1994,3112,5995768,230,"0,3905209557","0,8965827338","0,5440654843",0,1994,3112,5995768,230
Alg14,Wed Sep 26 13:23:04 BRT 2018,Wed Sep 26 13:24:45 BRT 2018,100123,"965,289","14,149","293,293",4910,6001104,6001104,6001104,0,2224,"0,1867531581","0,9838129496","0,3139167862",2188,9528,5989352,36,"0,1867531581","0,9838129496","0,3139167862",0,2188,9528,5989352,36
Alg15,Wed Sep 26 14:52:11 BRT 2018,Wed Sep 26 14:53:16 BRT 2018,64942,"744,102","29,802","266,777",4910,6001104,6001104,6001104,0,2224,"0,213110668","0,7688848921","0,3337236534",1710,6314,5992566,514,"0,213110668","0,7688848921","0,3337236534",0,1710,6314,5992566,514
Alg16,Wed Sep 26 14:26:52 BRT 2018,Wed Sep 26 14:27:48 BRT 2018,55460,"1,059,632","10,494","248,742",4910,6001104,6001104,6001104,0,2224,"0,9157303371","0,2931654676","0,4441416894",652,60,,,,,,,,,,
Alg17,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alg18,Wed Sep 26 14:53:13 BRT 2018,Wed Sep 26 14:54:21 BRT 2018,68336,"964,596","42,575","338,542",4910,6001104,6001104,6001104,0,2224,"0,6571011673","0,6074640288","0,6313084112",1351,705,5998175,873,"0,6571011673","0,6074640288","0,6313084112",0,1351,705,5998175,873
Alg19,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alg20,Wed Sep 26 15:00:26 BRT 2018,Wed Sep 26 15:01:31 BRT 2018,64950,"605,447","24,132","268,553",4910,6001104,6001104,6001104,0,2224,"0,8619295205","0,6708633094","0,7544879899",1492,239,5998641,732,"0,8619295205","0,6708633094","0,7544879899",0,1492,239,5998641,732
Alg21,Wed Sep 26 15:00:55 BRT 2018,Wed Sep 26 15:02:00 BRT 2018,64660,"886,334","68,974","361,185",4910,6001104,6001104,6001104,0,2224,"0,9650872818","0,1740107914","0,2948571429",387,14,5998866,1837,"0,9650872818","0,1740107914","0,2948571429",0,387,14,5998866,1837
Alg22,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alg23,,,,,,,,,,,,,,,,,,,,,,,,,,,
